source,topic,question,answer,type,cert
NASM Personal Fitness Training: Chapter 10,Supplementation,Eicosapentaenoic acid (EPA),"A type of omega-3 fatty acid found in the flesh of cold-water fish, such as tuna, mackerel, salmon, and herring.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Endogenous,Produced or synthesized within an organism.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Ephedra,A plant-sourced alkaloid with metabolism-enhancing effects. It is an illegal supplement in the United States and the European Union.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Ergogenic aid,A dietary supplement that may enhance performance or body composition; it may also be referred to as a performance supplement.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Essential nutrient,"Must be obtained in the diet, as the body is incapable of producing the nutrient on its own.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Gynecomastia,A condition in males characterized by breast tissue growth.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Health supplement,A dietary supplement used to improve a component of well-being.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Heart arrhythmias,Irregular heartbeat.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Heme,A type of iron found in animal foods.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Hemochromatosis,A disease in which the body absorbs too much iron from consumed foods.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Hormone precursor,A hormone used to create another hormone or hormone-like agent.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Hypercalcemia,Excess blood calcium levels.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Immunodeﬁciency,A weakened immune system.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Irritable bowel syndrome,"Gastrointestinal discomfort, sometimes severe, triggered by certain foods but is not a food allergy.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Lacto-ovo vegetarian,A vegetarian diet that also includes dairy and eggs.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Lactose intolerance,A sensitivity to lactose (milk sugar) typically resulting in gastrointestinal distress.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Loading,"Practice of using large doses of a supplement to saturate muscle tissues or other body stores prior to resorting to a lesser, maintenance dose.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Muscle protein synthesis (MPS),Process by which new muscle proteins are formed and a muscle grows or repairs at the molecular level.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Nonheme,A type of iron found in plant foods.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Omega-3,"The polyunsaturated fats, eicosapentaenoic acid (EPA), docosahexaenoic acid (DHA), and alpha-linolenic acid (ALA).",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Osteopenia,Lower than normal bone density and a precursor to osteoporosis.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Other ingredient,"Any component of a dietary supplement included for taste, bulk, or as a preservative; displayed beneath the main body of the supplement facts panel.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Ovo-vegetarian,A vegetarian diet that also includes eggs.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Pellagra,"A niacin or tryptophan deficiency that leads to a skin rash (dermatitis), digestive disorders (diarrhea), and mood or cognitive decline (dementia).",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Performance supplement,A dietary supplement that may enhance performance or body composition; may also be referred to as an ergogenic aid.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Peripheral neuropathy,Nerve damage not occurring in the brain or spinal cord.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Phosphagen,High-energy molecule that releases energy when its bonds are broken.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Platelet aggregation,An accumulation of blood cells prior to a clot.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Rickets,A bone weakness disease caused by vitamin D deficiency.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Scurvy,"A disease resulting from insufficient vitamin C and characterized by spontaneous bleeding (usually of the gums), anemia, swelling, weakened joints, and loss of teeth.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Serious adverse effect,"Any adverse effect that results in any life-threatening situation, inpatient hospitalization, persistent incapacity of a person’s ability to conduct a normal life, a congenital anomaly, reproductive harm, or death.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Skeletal myopathy,Muscle degeneration.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Spina biﬁda,"A birth defect, and type of neural tube defect, when the spine and spinal cord do not form properly.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Stimulant,An agent that increases physiologic or metabolic activity. Common stimulants include caffeine and nicotine.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Supplement facts panel,"Portion of a dietary supplement’s label that displays the active ingredients, other ingredients, serving size, number of servings, quantity of ingredients, and the percent daily value.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Tolerable upper limit,The greatest quantity of a vitamin or mineral that may be consumed in a day without risk of an adverse health effect.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 10,Supplementation,Toxicity,"When too much of a vitamin or mineral accumulates within the body, resulting in illness or other symptoms.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",1.5-mile (2.4 km) run test,An aerobic test that measures cardiorespiratory endurance by having the participant cover the distance of 1.5 miles in as short a time as possible.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",Anaerobic energy systems,Energy systems used to perform work in which glycogen is converted to glucose and oxygen is insufficient to break down pyruvate and create adenosine triphosphate.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",Anthropometry,"The field of study of the measurement of living humans for purposes of understanding human physical variation in size, weight, and proportion.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",Archimedes’ principle,The assumption stating that the volume of fluid displaced is equivalent to the volume of an object fully immersed in that fluid or to the specific fraction of the volume below the surface.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",Arterial system,The system of arteries carrying blood away from the heart.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",Bioelectrical impedance analysis (BIA),A body composition assessment technique that estimates body fat percentage by measuring the resistance to the flow of electrical currents introduced into the body.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",Body mass index (BMI),"The measurement of a person’s weight relative to his or her height, which is used to estimate the risks of obesity.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",Brachial artery,"The primary artery of the upper arm, which is often used as a site for measuring blood pressure.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",Cardiorespiratory assessments,Protocols intended to measure the aerobic fitness of an individual.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",Cardiorespiratory ﬁtness,The ability of the circulatory and respiratory systems to provide the body with oxygen during activity.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",Circumference measurement,"The measurement that determines the overall dimension (girth) of a body segment, which can be used to estimate body composition or the prevalence of obesity.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",Contraindication,"A specific situation where a medication, procedure, or exercise should be avoided because it may prove to be harmful to the individual.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",Diastolic blood pressure (DBP),The pressure in arteries and other blood vessels when heart is at rest or between beats; the second (bottom) number recorded.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",False-positive screenings,"A screening where the results of the health risk assessment might indicate a need for medical clearance, when one is in fact not needed.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",Four-site Durnin– Womersley protocol,"Measures the thickness of skinfolds at four different places (biceps, triceps, subscapular, and suprailiac) within the body to estimate body fat percentage.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",Gluteal fold,The area where the fold of the buttocks joins the back of the thigh.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",Health history questionnaire (HHQ),"A questionnaire with lists of questions that pertain to health history and habits, such as exercise history, eating behaviors, and general lifestyle.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",Health risk assessment (HRA),A screening tool used to evaluate the benefits and the risks associated with starting any type of exercise that is strenuous in nature.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",Jackson and Pollock 3-Site protocol,Measures the thickness of skinfolds at three different places within the body to estimate body fat percentage.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",Jackson and Pollock 7-Site protocol,Measures the thickness of skinfolds at seven different places within the body to estimate body fat percentage.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",Peripheral vasodilation,"The action of expanding the diameter of a blood vessel near the surface of the skin, which helps remove heat from the body.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",Physical Activity Readiness Questionnaire (PAR-Q+),A detailed questionnaire designed to assess an individual’s physical readiness to engage in structured exercise.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",Recovery heart rate (RHR),"The number of heartbeats measured after exercise ceases, which provides some indication of an individual’s fitness level (i.e., more conditioned people recover more rapidly).",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",Rockport walk test,An aerobic test for deconditioned individuals or those of low fitness levels in which they are instructed to walk as fast as possible and have their pulse taken immediately after completing 1 mile.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",Skinfold measurements,A technique used to estimate body fat in which calipers are used to pinch the skin in certain areas of the body.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",Steady-state (SS) heart rate,"Any stage at which the physiological response of heart rate from the cardiovascular system becomes relatively constant in relation to the amount of work being performed (i.e., the heart rate response matches the level of work being performed).",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",Talk test,An aerobic test that measures the participant’s ability to talk or hold a conversation during an activity at various intensity levels.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",Thermoregulation,"The physiological process by which the body maintains a relatively constant internal body temperature, including events like sweating to cool the body and shivering to warm the body.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",Waist circumference,A measurement that represents the narrowest circumference taken around the midline of the body at the approximate height of the umbilicus (belly button).,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",Waist-to-hip ratio (WHR),"The relative score expressing the ratio of the waist circumference to the hip circumference, which correlates to the risk for developing cardiovascular disease.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 11,"Health, Wellness, and Fitness Assessments",YMCA 3-minute step test,An aerobic test that measures the cardiovascular fitness of an individual based on a 3-minute bout of stair-stepping at a specific cadence.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",40-yard dash assessment,"A performance assessment designed to test reaction capabilities, acceleration, and maximal speed.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Anterior pelvic tilt,An excessive forward rotation of the pelvis that results in greater lumbar lordosis.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Anterior,On the front of the body.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Bench press strength assessment,A performance assessment designed to estimate the one-repetition maximum of the bench press exercise.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Dynamic posture,Alignment of the body while in motion.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Kinetic chain checkpoints,"The five areas of the body that are monitored during movement assessments and exercise: foot/ankle, knees, lumbo-pelvic-hip complex, shoulders, and head.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Knee valgus,Knees collapse inward (knock knees) due to hip adduction and internal rotation; also known as medial knee displacement and genu valgum.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Knee varus,Knees bow outward (bowlegged); also known as genu varum.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Long jump assessment,A performance assessment designed to test maximal jump distance and lower extremity power.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Lordotic/Lordosis,"The normal curvature of the cervical and lumbar spine regions, creating a concave portion of the spine.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Lower crossed syndrome,Postural syndrome characterized by anterior pelvic tilt and excessive lordosis of the lumbar spine.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Lower extremity functional test (LEFT),A performance assessment designed to test lateral speed and agility.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Mobility,Optimal flexibility and joint range of motion; ability to move freely.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Movement assessment,An assessment of a client’s movement patterns and postural alignment during movement or activity; also known as a dynamic postural assessment.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Movement impairments,Abnormal movement patterns that can indicate possible muscle imbalances or mobility limitation.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Muscle imbalance,When muscles on each side of a joint have altered length-tension relationships.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Optimal movement,Moving in a biomechanically efficient manner that maximizes muscle recruitment and minimizes risk of injury.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Overactive,When elevated neural drive causes a muscle to be held in a chronic state of contraction.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Overhead squat assessment  (OHSA),"A movement assessment designed to assess dynamic posture, core stability, and neuromuscular control of the whole body during a squatting motion.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Performance assessment,"Assessments used to measure overall strength, muscular endurance, power, and agility.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Pes planus distortion syndrome,"Postural syndrome characterized by flat feet, knee valgus, and adducted and internally rotated hips.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Pes planus,Collapsed arch of the foot; also known as flat feet.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Posterior,On the back of the body.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Pro shuttle (5-10-5) assessment,"A performance assessment designed to test lateral acceleration, deceleration, agility, and control.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Prone,Lying facedown.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Pulling assessment,An assessment that challenges the upper extremities and trunk during a pulling movement to identify movement impairments and potential muscle imbalances.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Push-up test,A performance assessment that measures muscular endurance of the upper extremities during a pushing movement.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Pushing assessment,An assessment that challenges the upper extremities and trunk during a pushing movement to identify movement impairments and potential muscle imbalances.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Single-leg squat assessment,"A movement assessment that assesses dynamic posture, lower-extremity strength, balance, and overall coordination in a single-limb stance.",Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Squat strength assessment,A performance assessment designed to estimate the one-repetition maximum of the squat exercise.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Static postural assessment,An assessment that provides insight to deviations from optimal alignment of the body in a standing posture.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Static posture,The positioning of the musculoskeletal system while the body is motionless.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Supine,Lying faceup.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Underactive,When a muscle is experiencing neural inhibition and limited neuromuscular recruitment.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Upper crossed syndrome,Postural syndrome characterized by a forward head and protracted shoulders.,Vocab,NASM CPT
NASM Personal Fitness Training: Chapter 12,"Posture, Movement, and Performance Assessments",Vertical jump assessment,A performance assessment designed to test maximal jump height and lower extremity power.,Vocab,NASM CPT
